locus	BG11_Control	BG11_Lys	difference
slr0444	-0.5959477170998434	-0.8720054162995214	0.27605769919967804
slr2130	-0.48812648007570764	-1.1122684461513725	0.6241419660756649
sll1747	-0.25516145346106966	-0.8747804773421333	0.6196190238810636
slr1559	0.47601625208168213	-0.22589050353016701	0.7019067556118491
sll0109	-0.1425972782831632	0.07216296459555642	-0.21476024287871964
sll1669	-0.7021454876087557	-1.2959966558177451	0.5938511682089894
sll1112	-0.44404115957329254	-0.742912708657546	0.29887154908425345
sll1957	0.06990800820262097	0.47840262509190834	-0.40849461688928734
slr0946	0.16247127511182627	0.058304820464592705	0.10416645464723356
slr0549	0.2505026672263152	0.7189079240789669	-0.46840525685265166
sll1766	-0.00852785244585878	-0.14763993342224735	0.13911208097638858
sll0495	0.0850320671806565	-0.41542637469218074	0.5004584418728373
slr1705	0.2502901541953103	3.7216925218153096	-3.471402367619999
sll0006	0.5534977078209521	-0.27999816877063044	0.8334958765915825
sll0402	-0.6194200129735903	-0.630358695075368	0.01093868210177773
slr0036	-0.1324429230306458	0.10978932751847134	-0.24223225054911715
slr1720	0.12313444213501329	-1.2534577067847408	1.3765921489197541
sll1874	0.2738958883991975	0.10599359124469322	0.16790229715450428
sll1321	-0.5890029284206585	-1.0181928047407136	0.4291898763200551
sll1326	-0.7705711472229889	-1.4782156671096665	0.7076445198866775
slr1329	-0.8603276736084757	-1.9746405506179638	1.1143128770094881
sll1327	-0.656539699774174	-1.6974535486830824	1.0409138489089083
sll1325	-0.9938309851825957	-1.6730250751801958	0.6791940899976001
slr1330	-2.0595654798848084	-1.8922713731939114	-0.16729410669089706
sll1324	-0.9667068314655521	-1.0055425136105012	0.038835682144949035
sll1323	-0.8123545754423414	-1.1032616838062919	0.2909071083639505
ssl2615	-0.7682018272136212	-1.2770952242859122	0.508893397072291
sll1322	-0.8028992616873152	-1.2391788623233133	0.43627960063599813
ssr2049	-0.019889340310116015	-0.11895016731668047	0.09906082700656446
slr0905	-0.17071656362235196	0.3584802206463303	-0.5291967842686822
slr0242	0.14897297964675457	0.21473153755179225	-0.06575855790503768
sll0221	-0.5151716749733727	-0.10970889585590782	-0.40546277911746487
slr1890	0.031909260163457256	0.02556868438029407	0.006340575783163188
sll1341	0.17371341112086527	0.02280802163772004	0.15090538948314525
sll1538	0.3416060047876373	-0.3871002054009446	0.728706210188582
sll1468	0.3635744149558274	-0.7813227814789645	1.1448971964347918
slr1364	0.02093326992260537	-1.4184006191299685	1.439333889052574
slr0917	-1.3136153007555933	-1.3318951172366316	0.01827981648103827
slr1365	0.9772809208034945	-0.4223493749535433	1.3996302957570377
sll1655	0.026611988436289938	-0.040963037628927834	0.06757502606521777
slr0319	-0.030043506204858718	0.11754008886256714	-0.14758359506742585
sll0374	0.34278549116678386	0.3106922324452835	0.03209325872150037
slr0119	0.4178378614847033	0.030019150918479082	0.38781871056622425
sll0634	-0.6925582552826117	-1.0446708847437174	0.35211262946110566
slr1784	-0.032358138144753155	0.01849728975704719	-0.050855427901800344
sll1683	0.0956009372311268	0.19599528636636643	-0.10039434913523963
slr1764	-0.05430697532431169	0.2782365953899297	-0.33254357071424134
sll1498	-0.7249732644683733	-1.631868210740407	0.9068949462720337
sll0370	-0.8419028744920337	-1.9002030617652212	1.0583001872731876
sll1869	-0.14228435986166427	0.3608996513039367	-0.503184011165601
sll0018	-2.7663876415532664	-1.7368991673246839	-1.0294884742285826
sll1349	0.23822568682671508	0.6618572196799847	-0.4236315328532696
sll1501	-0.05310517098250881	-0.21078865487932685	0.15768348389681805
slr1925	-0.2962833497155037	-0.1031296325779706	-0.1931537171375331
sll0916	-0.12061065251967676	0.2443840500996828	-0.36499470261935957
slr1538	0.2957321342214694	2.3888264303816644	-2.093094296160195
sll0099	0.2999288487418169	0.2617384909678941	0.03819035777392282
slr0239	-0.02910160456578082	0.00451788251760081	-0.03361948708338163
slr0969	0.10659138368972308	-1.1448730500161366	1.2514644337058596
slr1879	-0.11567828704311153	0.2776026693671423	-0.39328095641025385
sll0383	0.16118789014873067	-0.02968411877751801	0.19087200892624867
slr0618	0.3529165341189944	0.09882960324713932	0.2540869308718551
slr1368	0.6724343876283265	-0.36661774745194886	1.0390521350802753
sll0934	-0.22729828888372233	2.2241667737922954	-2.451465062676018
sll1029	0.18616732199252992	-0.7103545674548974	0.8965218894474274
sll1028	-0.2652633488642013	-0.8810732511747675	0.6158099023105663
