"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"5160",5160,1,8,"2022-09-26 03:45:00",680,0.276142448186874,0.276142448186874,2,0,1599,1,24.2490139007568,80.75,0.252476203307184,NA
"5161",5161,1,1,"2022-09-26 03:45:00",720,0.191741183400154,0.191741183400154,2,0,1936,1,24.2511959075928,80.75,0.199626645869817,0
"5162",5162,1,2,"2022-09-26 03:45:00",720,0.197161495685577,0.197161495685577,2,0,1912,1,24.2533779144287,80.75,0.205482951990752,0
"5163",5163,1,3,"2022-09-26 03:45:00",720,0.195029884576797,0.195029884576797,2,0,1908,1,24.2533779144287,80.75,0.203176880701788,0
"5164",5164,1,4,"2022-09-26 03:45:00",720,0.180759564042091,0.180759564042091,2,0,1975,1,24.2533779144287,80.75,0.187836966897609,0
"5165",5165,1,5,"2022-09-26 03:45:00",720,0.192515194416046,0.192515194416046,2,0,1921,1,24.2511959075928,80.75,0.200461383400345,0
"5166",5166,1,6,"2022-09-26 03:45:00",720,0.196356803178787,0.196356803178787,2,0,1906,1,24.2511959075928,80.75,0.204611939727215,0
"5167",5167,1,7,"2022-09-26 03:45:00",720,0.194643869996071,0.194643869996071,2,0,1918,1,24.2490139007568,80.75,0.202759690827353,0
"5168",5168,1,8,"2022-09-26 03:45:00",720,0.171396136283875,0.171396136283875,2,0,2016,1,24.2468318939209,80.75,0.177860571938801,NA
"5169",5169,1,1,"2022-09-26 04:00:00",680,0.358073592185974,0.358073592185974,2,0,1319,1,24.0941677093506,81,0.330226998092636,NA
"5170",5170,1,2,"2022-09-26 04:00:00",680,0.364441633224487,0.364441633224487,2,0,1305,1,24.0941677093506,81,0.336401335520765,NA
"5171",5171,1,3,"2022-09-26 04:00:00",680,0.352578163146973,0.352578163146973,2,0,1342,1,24.0941677093506,81,0.324914874117127,NA
"5172",5172,1,4,"2022-09-26 04:00:00",680,0.294456154108047,0.294456154108047,2,0,1532,1,24.0919857025146,81,0.269599726805787,NA
"5173",5173,1,5,"2022-09-26 04:00:00",680,0.32507649064064,0.32507649064064,2,0,1415,1,24.0898036956787,81,0.298548887803662,NA
"5174",5174,1,6,"2022-09-26 04:00:00",680,0.328013509511948,0.328013509511948,2,0,1405,1,24.0876216888428,81,0.301347662300963,NA
"5175",5175,1,7,"2022-09-26 04:00:00",680,0.310306668281555,0.310306668281555,2,0,1460,1,24.0854396820068,81,0.284533629315785,NA
"5176",5176,1,8,"2022-09-26 04:00:00",680,0.275599241256714,0.275599241256714,2,0,1601,1,24.0832576751709,81,0.251970364147192,NA
"5177",5177,1,1,"2022-09-26 04:00:00",720,0.192639902234077,0.192639902234077,2,0,1932,1,24.0941677093506,81,0.200595922822341,0
"5178",5178,1,2,"2022-09-26 04:00:00",720,0.197616249322891,0.197616249322891,2,0,1910,1,24.0941677093506,81,0.205975432621965,0
"5179",5179,1,3,"2022-09-26 04:00:00",720,0.195029884576797,0.195029884576797,2,0,1908,1,24.0919857025146,81,0.203176880701788,0
"5180",5180,1,4,"2022-09-26 04:00:00",720,0.182081624865532,0.182081624865532,2,0,1969,1,24.0898036956787,81,0.189251110295993,0
"5181",5181,1,5,"2022-09-26 04:00:00",720,0.192967802286148,0.192967802286148,2,0,1919,1,24.0876216888428,81,0.20094973647758,0
"5182",5182,1,6,"2022-09-26 04:00:00",720,0.196584865450859,0.196584865450859,2,0,1905,1,24.0854396820068,81,0.204858741213941,0
"5183",5183,1,7,"2022-09-26 04:00:00",720,0.195324063301086,0.195324063301086,2,0,1915,1,24.0854396820068,81,0.203494903646866,0
"5184",5184,1,8,"2022-09-26 04:00:00",720,0.171827435493469,0.171827435493469,2,0,2014,1,24.0832576751709,81,0.178318626952151,NA
"5185",5185,1,1,"2022-09-26 04:15:00",680,0.358733087778091,0.358733087778091,2,0,1317,1,23.9371242523193,81.25,0.330865496768116,NA
"5186",5186,1,2,"2022-09-26 04:15:00",680,0.364441633224487,0.364441633224487,2,0,1305,1,23.9371242523193,81.25,0.336401335520765,NA
"5187",5187,1,3,"2022-09-26 04:15:00",680,0.352902144193649,0.352902144193649,2,0,1341,1,23.9393062591553,81.25,0.325227636954547,NA
"5188",5188,1,4,"2022-09-26 04:15:00",680,0.295307964086533,0.295307964086533,2,0,1529,1,23.9393062591553,81.25,0.270399545686607,NA
"5189",5189,1,5,"2022-09-26 04:15:00",680,0.324462682008743,0.324462682008743,2,0,1417,1,23.9371242523193,81.25,0.297964471644658,NA
"5190",5190,1,6,"2022-09-26 04:15:00",680,0.329252570867538,0.329252570867538,2,0,1401,1,23.9371242523193,81.25,0.302529595088851,NA
"5191",5191,1,7,"2022-09-26 04:15:00",680,0.309414625167847,0.309414625167847,2,0,1463,1,23.9349422454834,81.25,0.283690277819,NA
"5192",5192,1,8,"2022-09-26 04:15:00",680,0.275327891111374,0.275327891111374,2,0,1602,1,23.9327602386475,81.25,0.251717724020434,NA
"5193",5193,1,1,"2022-09-26 04:15:00",720,0.193089976906776,0.193089976906776,2,0,1930,1,23.9371242523193,81.25,0.20108158976367,0
"5194",5194,1,2,"2022-09-26 04:15:00",720,0.198071464896202,0.198071464896202,2,0,1908,1,23.9393062591553,81.25,0.206468593281677,0
"5195",5195,1,3,"2022-09-26 04:15:00",720,0.196398466825485,0.196398466825485,2,0,1902,1,23.9393062591553,81.25,0.204657023402903,0
"5196",5196,1,4,"2022-09-26 04:15:00",720,0.181860983371735,0.181860983371735,2,0,1970,1,23.9393062591553,81.25,0.189015003788808,0
"5197",5197,1,5,"2022-09-26 04:15:00",720,0.192967802286148,0.192967802286148,2,0,1919,1,23.9371242523193,81.25,0.20094973647758,0
"5198",5198,1,6,"2022-09-26 04:15:00",720,0.197269693017006,0.197269693017006,2,0,1902,1,23.9371242523193,81.25,0.205600109270677,0
"5199",5199,1,7,"2022-09-26 04:15:00",720,0.194643869996071,0.194643869996071,2,0,1918,1,23.9349422454834,81.25,0.202759690827353,0
"5200",5200,1,8,"2022-09-26 04:15:00",720,0.171611711382866,0.171611711382866,2,0,2015,1,23.9327602386475,81.25,0.178089502804161,NA
"5201",5201,1,1,"2022-09-26 04:30:00",680,0.35906320810318,0.35906320810318,2,0,1316,1,23.7931823730469,81.5,0.331185187720965,NA
"5202",5202,1,2,"2022-09-26 04:30:00",680,0.364774823188782,0.364774823188782,2,0,1304,1,23.7910022735596,81.5,0.336724948120283,NA
"5203",5203,1,3,"2022-09-26 04:30:00",680,0.35355082154274,0.35355082154274,2,0,1339,1,23.7888240814209,81.5,0.32585400758801,NA
"5204",5204,1,4,"2022-09-26 04:30:00",680,0.296161472797394,0.296161472797394,2,0,1526,1,23.7888240814209,81.5,0.271201266399343,NA
"5205",5205,1,5,"2022-09-26 04:30:00",680,0.326614946126938,0.326614946126938,2,0,1410,1,23.7910022735596,81.5,0.300014433548653,NA
"5206",5206,1,6,"2022-09-26 04:30:00",680,0.330184191465378,0.330184191465378,2,0,1398,1,23.7910022735596,81.5,0.303418730545033,NA
"5207",5207,1,7,"2022-09-26 04:30:00",680,0.310306668281555,0.310306668281555,2,0,1460,1,23.7910022735596,81.5,0.284533629315785,NA
"5208",5208,1,8,"2022-09-26 04:30:00",680,0.275599241256714,0.275599241256714,2,0,1601,1,23.7910022735596,81.5,0.251970364147192,NA
"5209",5209,1,1,"2022-09-26 04:30:00",720,0.192864879965782,0.192864879965782,2,0,1931,1,23.7910022735596,81.5,0.200838670491238,0
"5210",5210,1,2,"2022-09-26 04:30:00",720,0.198071464896202,0.198071464896202,2,0,1908,1,23.7888240814209,81.5,0.206468593281677,0
"5211",5211,1,3,"2022-09-26 04:30:00",720,0.196170061826706,0.196170061826706,2,0,1903,1,23.7888240814209,81.5,0.204409887801129,0
"5212",5212,1,4,"2022-09-26 04:30:00",720,0.182744145393372,0.182744145393372,2,0,1966,1,23.7910022735596,81.5,0.189960302439845,0
"5213",5213,1,5,"2022-09-26 04:30:00",720,0.193647637963295,0.193647637963295,2,0,1916,1,23.7910022735596,81.5,0.201683589816123,0
"5214",5214,1,6,"2022-09-26 04:30:00",720,0.197498187422752,0.197498187422752,2,0,1901,1,23.7910022735596,81.5,0.205847558906837,0
"5215",5215,1,7,"2022-09-26 04:30:00",720,0.195778101682663,0.195778101682663,2,0,1913,1,23.7910022735596,81.5,0.203985889319028,0
"5216",5216,1,8,"2022-09-26 04:30:00",720,0.171827435493469,0.171827435493469,2,0,2014,1,23.7910022735596,81.5,0.178318626952151,NA
"5217",5217,1,1,"2022-09-26 04:45:00",680,0.359724253416061,0.359724253416061,2,0,1314,1,23.6601314544678,81.75,0.331825511400179,NA
"5218",5218,1,2,"2022-09-26 04:45:00",680,0.364441633224487,0.364441633224487,2,0,1305,1,23.6601314544678,81.75,0.336401335520765,NA
"5219",5219,1,3,"2022-09-26 04:45:00",680,0.354525685310364,0.354525685310364,2,0,1336,1,23.6601314544678,81.75,0.3267957357766,NA
"5220",5220,1,4,"2022-09-26 04:45:00",680,0.295876830816269,0.295876830816269,2,0,1527,1,23.6601314544678,81.75,0.270933861342762,NA
"5221",5221,1,5,"2022-09-26 04:45:00",680,0.3275406062603,0.3275406062603,2,0,1407,1,23.6601314544678,81.75,0.300896750015332,NA
"5222",5222,1,6,"2022-09-26 04:45:00",680,0.331117808818817,0.331117808818817,2,0,1395,1,23.6601314544678,81.75,0.304310176138691,NA
"5223",5223,1,7,"2022-09-26 04:45:00",680,0.310009121894836,0.310009121894836,2,0,1461,1,23.6579494476318,81.75,0.284252285369733,NA
"5224",5224,1,8,"2022-09-26 04:45:00",680,0.275056719779968,0.275056719779968,2,0,1603,1,23.6601314544678,81.75,0.251465279331948,NA
"5225",5225,1,1,"2022-09-26 04:45:00",720,0.192864879965782,0.192864879965782,2,0,1931,1,23.6601314544678,81.75,0.200838670491238,0
"5226",5226,1,2,"2022-09-26 04:45:00",720,0.197843819856644,0.197843819856644,2,0,1909,1,23.6601314544678,81.75,0.206221950087191,0
"5227",5227,1,3,"2022-09-26 04:45:00",720,0.197313234210014,0.197313234210014,2,0,1898,1,23.6601314544678,81.75,0.205647259023521,0
"5228",5228,1,4,"2022-09-26 04:45:00",720,0.184294030070305,0.184294030070305,2,0,1959,1,23.6601314544678,81.75,0.191620751775274,0
"5229",5229,1,5,"2022-09-26 04:45:00",720,0.19455574452877,0.19455574452877,2,0,1912,1,23.6601314544678,81.75,0.202664466062996,0
"5230",5230,1,6,"2022-09-26 04:45:00",720,0.198413476347923,0.198413476347923,2,0,1897,1,23.6601314544678,81.75,0.206839232103185,0
"5231",5231,1,7,"2022-09-26 04:45:00",720,0.195324063301086,0.195324063301086,2,0,1915,1,23.6579494476318,81.75,0.203494903646866,0
"5232",5232,1,8,"2022-09-26 04:45:00",720,0.170965284109116,0.170965284109116,2,0,2018,1,23.6601314544678,81.75,0.177403131388479,NA
"5233",5233,1,1,"2022-09-26 05:00:00",680,0.360386282205582,0.360386282205582,2,0,1312,1,23.5423641204834,82,0.332467005260026,NA
"5234",5234,1,2,"2022-09-26 05:00:00",680,0.365441918373108,0.365441918373108,2,0,1302,1,23.5423641204834,82,0.33737303551311,NA
"5235",5235,1,3,"2022-09-26 05:00:00",680,0.355176776647568,0.355176776647568,2,0,1334,1,23.5401821136475,82,0.327424956516387,NA
"5236",5236,1,4,"2022-09-26 05:00:00",680,0.296731442213058,0.296731442213058,2,0,1524,1,23.5380001068115,82,0.271736823432263,NA
"5237",5237,1,5,"2022-09-26 05:00:00",680,0.3275406062603,0.3275406062603,2,0,1407,1,23.5380001068115,82,0.300896750015332,NA
"5238",5238,1,6,"2022-09-26 05:00:00",680,0.330495148897171,0.330495148897171,2,0,1397,1,23.5380001068115,82,0.303715596927754,NA
"5239",5239,1,7,"2022-09-26 05:00:00",680,0.310604423284531,0.310604423284531,2,0,1459,1,23.5380001068115,82,0.284815209585177,NA
"5240",5240,1,8,"2022-09-26 05:00:00",680,0.275056719779968,0.275056719779968,2,0,1603,1,23.5380001068115,82,0.251465279331948,NA
"5241",5241,1,1,"2022-09-26 05:00:00",720,0.193315133452415,0.193315133452415,2,0,1929,1,23.5423641204834,82,0.201324616414444,0
"5242",5242,1,2,"2022-09-26 05:00:00",720,0.198299273848534,0.198299273848534,2,0,1907,1,23.5401821136475,82,0.206715459192348,0
"5243",5243,1,3,"2022-09-26 05:00:00",720,0.197771355509758,0.197771355509758,2,0,1896,1,23.5380001068115,82,0.206143447666303,0
"5244",5244,1,4,"2022-09-26 05:00:00",720,0.183629110455513,0.183629110455513,2,0,1962,1,23.5380001068115,82,0.190908160693861,0
"5245",5245,1,5,"2022-09-26 05:00:00",720,0.194328501820564,0.194328501820564,2,0,1913,1,23.5380001068115,82,0.202418947562256,0
"5246",5246,1,6,"2022-09-26 05:00:00",720,0.197726830840111,0.197726830840111,2,0,1900,1,23.5380001068115,82,0.206095215251738,0
"5247",5247,1,7,"2022-09-26 05:00:00",720,0.195551007986069,0.195551007986069,2,0,1914,1,23.5380001068115,82,0.203740293764591,0
"5248",5248,1,8,"2022-09-26 05:00:00",720,0.170965284109116,0.170965284109116,2,0,2018,1,23.5380001068115,82,0.177403131388479,NA
"5249",5249,1,1,"2022-09-26 05:15:00",680,0.360386282205582,0.360386282205582,2,0,1312,1,23.4289455413818,82.25,0.332467005260026,NA
"5250",5250,1,2,"2022-09-26 05:15:00",680,0.365441918373108,0.365441918373108,2,0,1302,1,23.4289455413818,82.25,0.33737303551311,NA
"5251",5251,1,3,"2022-09-26 05:15:00",680,0.355176776647568,0.355176776647568,2,0,1334,1,23.4289455413818,82.25,0.327424956516387,NA
"5252",5252,1,4,"2022-09-26 05:15:00",680,0.297016710042953,0.297016710042953,2,0,1523,1,23.4289455413818,82.25,0.272004919614704,NA
"5253",5253,1,5,"2022-09-26 05:15:00",680,0.328468233346939,0.328468233346939,2,0,1404,1,23.4289455413818,82.25,0.301781337986824,NA
"5254",5254,1,6,"2022-09-26 05:15:00",680,0.331117808818817,0.331117808818817,2,0,1395,1,23.4289455413818,82.25,0.304310176138691,NA
"5255",5255,1,7,"2022-09-26 05:15:00",680,0.310009121894836,0.310009121894836,2,0,1461,1,23.4289455413818,82.25,0.284252285369733,NA
"5256",5256,1,8,"2022-09-26 05:15:00",680,0.274514853954315,0.274514853954315,2,0,1605,1,23.4289455413818,82.25,0.250960920450828,NA
"5257",5257,1,1,"2022-09-26 05:15:00",720,0.193315133452415,0.193315133452415,2,0,1929,1,23.4289455413818,82.25,0.201324616414444,0
"5258",5258,1,2,"2022-09-26 05:15:00",720,0.198527216911316,0.198527216911316,2,0,1906,1,23.4289455413818,82.25,0.206962515660155,0
"5259",5259,1,3,"2022-09-26 05:15:00",720,0.198000609874725,0.198000609874725,2,0,1895,1,23.4289455413818,82.25,0.206391820213245,0
"5260",5260,1,4,"2022-09-26 05:15:00",720,0.183850646018982,0.183850646018982,2,0,1961,1,23.4289455413818,82.25,0.191145539481155,0
"5261",5261,1,5,"2022-09-26 05:15:00",720,0.195238023996353,0.195238023996353,2,0,1909,1,23.4289455413818,82.25,0.20340188287022,0
"5262",5262,1,6,"2022-09-26 05:15:00",720,0.198642566800117,0.198642566800117,2,0,1896,1,23.4289455413818,82.25,0.207087555084083,0
"5263",5263,1,7,"2022-09-26 05:15:00",720,0.195324063301086,0.195324063301086,2,0,1915,1,23.4289455413818,82.25,0.203494903646866,0
"5264",5264,1,8,"2022-09-26 05:15:00",720,0.170965284109116,0.170965284109116,2,0,2018,1,23.4289455413818,82.25,0.177403131388479,NA
"5265",5265,1,1,"2022-09-26 05:30:00",680,0.361713379621506,0.361713379621506,2,0,1308,1,23.3308010101318,82.5,0.333753595321869,NA
"5266",5266,1,2,"2022-09-26 05:30:00",680,0.365775883197784,0.365775883197784,2,0,1301,1,23.3308010101318,82.5,0.337697568548367,NA
"5267",5267,1,3,"2022-09-26 05:30:00",680,0.355828881263733,0.355828881263733,2,0,1332,1,23.3286190032959,82.5,0.328055365528134,NA
"5268",5268,1,4,"2022-09-26 05:30:00",680,0.298159569501877,0.298159569501877,2,0,1519,1,23.3286190032959,82.5,0.273079331014718,NA
"5269",5269,1,5,"2022-09-26 05:30:00",680,0.329397857189178,0.329397857189178,2,0,1401,1,23.3286190032959,82.5,0.302668229353297,NA
"5270",5270,1,6,"2022-09-26 05:30:00",680,0.331429481506348,0.331429481506348,2,0,1394,1,23.3286190032959,82.5,0.304607860784812,NA
"5271",5271,1,7,"2022-09-26 05:30:00",680,0.309711754322052,0.309711754322052,2,0,1462,1,23.3286190032959,82.5,0.283971149458627,NA
"5272",5272,1,8,"2022-09-26 05:30:00",680,0.274785697460175,0.274785697460175,2,0,1604,1,23.3286190032959,82.5,0.251213002255651,NA
"5273",5273,1,1,"2022-09-26 05:30:00",720,0.194668784737587,0.194668784737587,2,0,1923,1,23.3308010101318,82.5,0.202786613879868,0
"5274",5274,1,2,"2022-09-26 05:30:00",720,0.198755264282227,0.198755264282227,2,0,1905,1,23.3308010101318,82.5,0.207209730502552,0
"5275",5275,1,3,"2022-09-26 05:30:00",720,0.198229983448982,0.198229983448982,2,0,1894,1,23.3286190032959,82.5,0.206640367646203,0
"5276",5276,1,4,"2022-09-26 05:30:00",720,0.184515878558159,0.184515878558159,2,0,1958,1,23.3286190032959,82.5,0.19185858549076,0
"5277",5277,1,5,"2022-09-26 05:30:00",720,0.195693522691727,0.195693522691727,2,0,1907,1,23.3286190032959,82.5,0.203894414295225,0
"5278",5278,1,6,"2022-09-26 05:30:00",720,0.198642566800117,0.198642566800117,2,0,1896,1,23.3286190032959,82.5,0.207087555084083,0
"5279",5279,1,7,"2022-09-26 05:30:00",720,0.195778101682663,0.195778101682663,2,0,1913,1,23.3286190032959,82.5,0.203985889319028,0
"5280",5280,1,8,"2022-09-26 05:30:00",720,0.17118065059185,0.17118065059185,2,0,2017,1,23.3308010101318,82.5,0.177631770952043,NA
"5281",5281,1,1,"2022-09-26 05:45:00",680,0.362711399793625,0.362711399793625,2,0,1305,1,23.2348384857178,82.75,0.334721731213647,NA
"5282",5282,1,2,"2022-09-26 05:45:00",680,0.366110056638718,0.366110056638718,2,0,1300,1,23.2348384857178,82.75,0.338022360454649,NA
"5283",5283,1,3,"2022-09-26 05:45:00",680,0.356481969356537,0.356481969356537,2,0,1330,1,23.2348384857178,82.75,0.328686935254514,NA
"5284",5284,1,4,"2022-09-26 05:45:00",680,0.298445731401443,0.298445731401443,2,0,1518,1,23.2348384857178,82.75,0.273348441010931,NA
"5285",5285,1,5,"2022-09-26 05:45:00",680,0.329708188772202,0.329708188772202,2,0,1400,1,23.2348384857178,82.75,0.302964384920918,NA
"5286",5286,1,6,"2022-09-26 05:45:00",680,0.332053452730179,0.332053452730179,2,0,1392,1,23.2326564788818,82.75,0.305203963877479,NA
"5287",5287,1,7,"2022-09-26 05:45:00",680,0.310009121894836,0.310009121894836,2,0,1461,1,23.2304744720459,82.75,0.284252285369733,NA
"5288",5288,1,8,"2022-09-26 05:45:00",680,0.27424418926239,0.27424418926239,2,0,1606,1,23.2304744720459,82.75,0.25070903383106,NA
"5289",5289,1,1,"2022-09-26 05:45:00",720,0.195347189903259,0.195347189903259,2,0,1920,1,23.2348384857178,82.75,0.203519907890525,0
"5290",5290,1,2,"2022-09-26 05:45:00",720,0.198527216911316,0.198527216911316,2,0,1906,1,23.2348384857178,82.75,0.206962515660155,0
"5291",5291,1,3,"2022-09-26 05:45:00",720,0.198459461331367,0.198459461331367,2,0,1893,1,23.2348384857178,82.75,0.206889073934023,0
"5292",5292,1,4,"2022-09-26 05:45:00",720,0.185626924037933,0.185626924037933,2,0,1953,1,23.2348384857178,82.75,0.193050289768774,0
"5293",5293,1,5,"2022-09-26 05:45:00",720,0.196377635002136,0.196377635002136,2,0,1904,1,23.2326564788818,82.75,0.204634481377818,0
"5294",5294,1,6,"2022-09-26 05:45:00",720,0.199101164937019,0.199101164937019,2,0,1894,1,23.2304744720459,82.75,0.207584790874025,0
"5295",5295,1,7,"2022-09-26 05:45:00",720,0.195551007986069,0.195551007986069,2,0,1914,1,23.2304744720459,82.75,0.203740293764591,0
"5296",5296,1,8,"2022-09-26 05:45:00",720,0.17075003683567,0.17075003683567,2,0,2019,1,23.2304744720459,82.75,0.17717465314169,NA
"5297",5297,1,1,"2022-09-26 06:00:00",680,0.362378478050232,0.362378478050232,2,0,1306,1,23.1388759613037,83,0.334398723050862,NA
"5298",5298,1,2,"2022-09-26 06:00:00",680,0.366444557905197,0.366444557905197,2,0,1299,1,23.1388759613037,83,0.338347527268023,NA
"5299",5299,1,3,"2022-09-26 06:00:00",680,0.357791066169739,0.357791066169739,2,0,1326,1,23.1388759613037,83,0.329953532980798,NA
"5300",5300,1,4,"2022-09-26 06:00:00",680,0.299879550933838,0.299879550933838,2,0,1513,1,23.1366939544678,83,0.27469734718292,NA
"5301",5301,1,5,"2022-09-26 06:00:00",680,0.330018728971481,0.330018728971481,2,0,1399,1,23.1366939544678,83,0.303260784301184,NA
"5302",5302,1,6,"2022-09-26 06:00:00",680,0.332678347826004,0.332678347826004,2,0,1390,1,23.1366939544678,83,0.305801131661615,NA
"5303",5303,1,7,"2022-09-26 06:00:00",680,0.310604423284531,0.310604423284531,2,0,1459,1,23.1388759613037,83,0.284815209585177,NA
