locus	gene_name	gene_name_short	protein
ncr0870	ssaA ncr0870	ncr0870	ssaA; 6S RNA
ncr0880	ncr0880	ncr0880	ncr0880
ncr0890	ncr0890	ncr0890	ncr0890
ncr0900	ncr0900	ncr0900	ncr0900
ncr0910	syR49 ncr0910	ncr0910	SyR49
ncr0920	ncr0920	ncr0920	ncr0920
ncr0930	ncr0930	ncr0930	ncr0930
ncr0940	ncr0940	ncr0940	ncr0940
ncr0950	ncr0950	ncr0950	ncr0950
ncr0960	ncr0960	ncr0960	ncr0960
ncr0970	ncr0970	ncr0970	ncr0970
ncr0980	ncr0980	ncr0980	ncr0980
ncr1010	ncr1010	ncr1010	ncr1010
ncr1020	ncr1020	ncr1020	ncr1020
ncr1030	ncr1030	ncr1030	ncr1030
ncr1050	ncr1050	ncr1050	ncr1050
ncr1060	ncr1060	ncr1060	ncr1060
ncr1070	ncr1070	ncr1070	ncr1070
ncr1071	ncr1071	ncr1071	ncr1071
ncr1080	syR47 ncr1080	ncr1080	SyR47
ncr1090	ncr1090	ncr1090	ncr1090
ncr1100	ncr1100	ncr1100	ncr1100
ncr1120	ncr1120	ncr1120	ncr1120
ncr1130	ncr1130	ncr1130	ncr1130
ncr1140	ncr1140	ncr1140	ncr1140
ncr1150	ncr1150	ncr1150	ncr1150
ncr1160	ncr1160	ncr1160	ncr1160
ncr1170	ncr1170	ncr1170	ncr1170
ncr1180	ncr1180	ncr1180	ncr1180
ncr1200	ncr1200	ncr1200	ncr1200
ncr1220	ncr1220	ncr1220	ncr1220
ncr1230	ncr1230	ncr1230	ncr1230
ncr1240	ncr1240	ncr1240	ncr1240
ncr1250	ncr1250	ncr1250	ncr1250
ncr1270	ncr1270	ncr1270	ncr1270
ncr1280	ncr1280	ncr1280	ncr1280
ncr1290	ncr1290	ncr1290	ncr1290
ncr1300	ncr1300	ncr1300	ncr1300
ncr1310	ncr1310	ncr1310	ncr1310
ncr1320	ncr1320	ncr1320	ncr1320
ncr1330	ncr1330	ncr1330	ncr1330
ncr1340	ncr1340	ncr1340	ncr1340
ncr1350	ncr1350	ncr1350	ncr1350
