locus_tag	GO_ID
slr1390	GO:0004176
slr1390	GO:0004222
slr1390	GO:0005524
slr1390	GO:0006508
slr1390	GO:0008270
slr1390	GO:0016887
slr1390	GO:0030163
slr1390	GO:0031676
sll1579	GO:0015979
sll1579	GO:0030089
sll1579	GO:0031676
sll1920	GO:0005507
sll1920	GO:0005524
sll1920	GO:0005886
sll1920	GO:0015677
sll1920	GO:0016020
sll1920	GO:0016887
sll1920	GO:0043682
sll1920	GO:0055070
sll1920	GO:0140581
sll1917	GO:0004109
sll1917	GO:0005737
sll1917	GO:0006779
sll1917	GO:0046872
sll1917	GO:0051537
sll1917	GO:0051539
sll1815	GO:0004017
sll1815	GO:0004550
sll1815	GO:0005524
sll1815	GO:0005737
sll1815	GO:0005829
sll1815	GO:0009123
sll1815	GO:0009132
sll1815	GO:0016310
sll1815	GO:0044209
sll1786	GO:0004536
sll1786	GO:0005829
sll1786	GO:0019478
sll1786	GO:0046872
sll1786	GO:0051499
slr1830	GO:0005737
slr1830	GO:0016746
slr1830	GO:0042619
slr1839	GO:0015977
slr1839	GO:0015979
slr1839	GO:0031470
slr1839	GO:0043886
sll1463	GO:0004176
sll1463	GO:0004222
sll1463	GO:0005524
sll1463	GO:0006508
sll1463	GO:0008270
sll1463	GO:0009579
sll1463	GO:0016887
sll1463	GO:0030163
sll1463	GO:0031676
sll1633	GO:0000917
sll1633	GO:0003924
sll1633	GO:0005525
sll1633	GO:0005737
sll1633	GO:0032153
sll1633	GO:0032506
sll1633	GO:0042802
sll1633	GO:0043093
sll1633	GO:0051258
sll1633	GO:0051301
sll1281	GO:0009539
sll1281	GO:0015979
sll1281	GO:0030096
sll1281	GO:0031676
sll1281	GO:0042549
ssl2501	GO:0031676
ssl2501	GO:0042619
ssl2501	GO:0070088
ssl1633	GO:0016168
ssl1633	GO:0042651
ssl1633	GO:1990066
slr0886	GO:0004316
slr0886	GO:0016616
slr0886	GO:0030497
slr0886	GO:0051287
sml0007	GO:0015979
sml0007	GO:0030096
sml0007	GO:0030145
sml0007	GO:0031676
slr1743	GO:0003955
slr1743	GO:0019646
slr1743	GO:0042372
slr2058	GO:0003677
slr2058	GO:0003917
slr2058	GO:0006265
slr2058	GO:0046872
slr1992	GO:0004602
slr1992	GO:0034599
slr1994	GO:0016616
slr1994	GO:0018454
slr1994	GO:0030497
slr1994	GO:0042619
sll1595	GO:0005524
sll1595	GO:0016301
sll1595	GO:0016310
sll1595	GO:0016887
sll0250	GO:0004632
sll0250	GO:0004633
sll0250	GO:0010181
sll0250	GO:0015937
sll0250	GO:0015941
sll0250	GO:0046872
sll0250	GO:0071513
slr2097	GO:0005344
slr2097	GO:0005737
slr2097	GO:0008379
slr2097	GO:0019825
slr2097	GO:0020037
slr2097	GO:0034599
slr2097	GO:0045454
slr2097	GO:0046872
sll1418	GO:0005509
sll1418	GO:0009654
sll1418	GO:0015979
sll1418	GO:0019898
sll1415	GO:0003951
sll1415	GO:0005524
sll1415	GO:0005737
sll1415	GO:0006741
sll1415	GO:0016310
sll1415	GO:0019674
sll1415	GO:0046872
sll1415	GO:0051287
sll0807	GO:0004750
sll0807	GO:0005829
sll0807	GO:0009052
sll0807	GO:0019323
sll0807	GO:0046872
slr1964	GO:0031676
sll1894	GO:0000287
sll1894	GO:0003935
sll1894	GO:0005525
sll1894	GO:0005829
sll1894	GO:0008270
sll1894	GO:0008686
sll1894	GO:0009231
sll1894	GO:0030145
sll1883	GO:0004042
sll1883	GO:0004358
sll1883	GO:0005737
sll1883	GO:0006526
sll1883	GO:0006592
sll1883	GO:0103045
slr1471	GO:0005886
slr1471	GO:0015031
slr1471	GO:0032977
slr1471	GO:0051205
sll1377	GO:0000287
sll1377	GO:0005886
sll1377	GO:0006071
sll1377	GO:0016758
sll1377	GO:0046467
slr1269	GO:0006508
slr1269	GO:0006750
slr1269	GO:0006751
slr1269	GO:0036374
slr1269	GO:0103068
sll1443	GO:0003883
sll1443	GO:0004359
sll1443	GO:0005524
sll1443	GO:0005829
sll1443	GO:0006241
sll1443	GO:0006541
sll1443	GO:0019856
sll1443	GO:0042802
