Gene	sgRNA	eff
iutA	iutA|186	1
iutA	iutA|301	1
iutA	iutA|84	1
iutA	iutA|238	1
pheA	pheA|52	1
pheA	pheA|3	1
pheA	pheA|114	1
pheA	pheA|30	1
pheA	pheA|136	1
slr1119	slr1119|50	1
slr1119	slr1119|70	1
slr1119	slr1119|13	1
slr1119	slr1119|83	1
slr1119	slr1119|105	1
ccmL	ccmL|25	1
ccmL	ccmL|184	1
ccmL	ccmL|173	1
ccmL	ccmL|215	1
ccmL	ccmL|48	1
slr1117	slr1117|56	1
slr1117	slr1117|76	1
slr1117	slr1117|91	1
slr1117	slr1117|41	1
slr1117	slr1117|22	1
slr1116	slr1116|253	1
slr1116	slr1116|31	1
slr1116	slr1116|230	1
slr1116	slr1116|218	1
slr1116	slr1116|76	1
slr1115	slr1115|34	1
slr1115	slr1115|137	1
slr1115	slr1115|73	1
slr1115	slr1115|49	1
slr1115	slr1115|124	1
slr1114	slr1114|32	1
slr1114	slr1114|48	1
slr1114	slr1114|74	1
slr1114	slr1114|59	1
slr1114	slr1114|19	1
slr1113	slr1113|88	1
slr1113	slr1113|19	1
slr1113	slr1113|46	1
slr1113	slr1113|58	1
slr1113	slr1113|74	1
slr1110	slr1110|117	1
slr1110	slr1110|132	1
slr1110	slr1110|106	1
slr1110	slr1110|91	1
slr1110	slr1110|27	1
ssl1326	ssl1326|241	1
ssl1326	ssl1326|103	1
ssl1326	ssl1326|52	1
ssl1326	ssl1326|64	1
sll1041	sll1041|56	1
sll1041	sll1041|44	1
sll1041	sll1041|68	1
sll1041	sll1041|9	1
sll1041	sll1041|32	1
slr0236	slr0236|104	1
slr0236	slr0236|11	1
slr0236	slr0236|123	1
slr0236	slr0236|25	1
slr0236	slr0236|52	1
slr0725	slr0725|118	1
slr0725	slr0725|239	1
slr0725	slr0725|61	1
slr0725	slr0725|4	1
slr0725	slr0725|105	1
sll1204	sll1204|7	1
sll1204	sll1204|383	1
sll1204	sll1204|372	1
sll1204	sll1204|337	1
sll1204	sll1204|352	1
sll1049	sll1049|52	1
sll1049	sll1049|185	1
sll1049	sll1049|80	1
sll1049	sll1049|153	1
sll1049	sll1049|67	1
sll1062	sll1062|64	1
sll1062	sll1062|305	1
sll1062	sll1062|85	1
sll1062	sll1062|282	1
ssr3000	ssr3000|70	1
ssr3000	ssr3000|136	1
ssr3000	ssr3000|38	1
ssr3000	ssr3000|55	1
ssr3000	ssr3000|118	1
atp1	atp1|338	1
atp1	atp1|6	1
atp1	atp1|274	1
atp1	atp1|130	1
atp1	atp1|39	1
sll1203	sll1203|312	1
sll1203	sll1203|211	1
