# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r2_T1.featureCounts.txt" "BG11_control_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r2_T1.bam
slr1776|100	slr1776|100	1	18	.	18	585
slr1776|141	slr1776|141	1	22	.	22	491
slr1776|85	slr1776|85	1	18	.	18	571
upp|215	upp|215	1	21	.	21	484
upp|196	upp|196	1	17	.	17	293
upp|27	upp|27	1	20	.	20	112
upp|130	upp|130	1	21	.	21	681
upp|156	upp|156	1	17	.	17	386
slr1415|37	slr1415|37	1	22	.	22	590
slr1415|70	slr1415|70	1	20	.	20	518
slr1415|105	slr1415|105	1	19	.	19	180
slr1415|12	slr1415|12	1	18	.	18	596
slr1415|119	slr1415|119	1	21	.	21	505
dapB|79	dapB|79	1	21	.	21	209
dapB|56	dapB|56	1	20	.	20	70
dapB|123	dapB|123	1	17	.	17	270
dapB|180	dapB|180	1	21	.	21	508
dapB|21	dapB|21	1	18	.	18	294
pchR|16	pchR|16	1	19	.	19	310
pchR|49	pchR|49	1	22	.	22	224
pchR|4	pchR|4	1	20	.	20	270
pchR|70	pchR|70	1	19	.	19	325
pchR|29	pchR|29	1	19	.	19	184
psb13|148	psb13|148	1	20	.	20	229
psb13|136	psb13|136	1	17	.	17	267
psb13|19	psb13|19	1	17	.	17	759
psb13|37	psb13|37	1	17	.	17	620
psb13|56	psb13|56	1	19	.	19	313
fus|114	fus|114	1	22	.	22	427
fus|25	fus|25	1	20	.	20	538
fus|9	fus|9	1	19	.	19	541
fus|55	fus|55	1	18	.	18	283
fus|167	fus|167	1	21	.	21	1111
llaI_2|982	llaI_2|982	1	19	.	19	326
llaI_2|444	llaI_2|444	1	17	.	17	502
llaI_2|1259	llaI_2|1259	1	20	.	20	406
llaI_2|327	llaI_2|327	1	22	.	22	296
ssl0410|214	ssl0410|214	1	19	.	19	212
ssl0410|19	ssl0410|19	1	20	.	20	232
ssl0410|115	ssl0410|115	1	22	.	22	829
ssl0410|52	ssl0410|52	1	20	.	20	46
sll0230|38	sll0230|38	1	22	.	22	327
sll0230|127	sll0230|127	1	22	.	22	322
sll0230|148	sll0230|148	1	18	.	18	639
sll0230|90	sll0230|90	1	17	.	17	820
sll0230|109	sll0230|109	1	21	.	21	416
msrA2|80	msrA2|80	1	22	.	22	613
msrA2|62	msrA2|62	1	17	.	17	435
msrA2|190	msrA2|190	1	20	.	20	621
msrA2|16	msrA2|16	1	18	.	18	145
msrA2|151	msrA2|151	1	19	.	19	198
psaK|112	psaK|112	1	22	.	22	973
psaK|34	psaK|34	1	22	.	22	342
psaK|136	psaK|136	1	18	.	18	313
psaK|50	psaK|50	1	20	.	20	203
psaK|22	psaK|22	1	21	.	21	521
psaD|64	psaD|64	1	20	.	20	120
psaD|126	psaD|126	1	17	.	17	452
psaD|97	psaD|97	1	18	.	18	158
psaD|21	psaD|21	1	21	.	21	87
psaD|85	psaD|85	1	19	.	19	383
aroK|41	aroK|41	1	21	.	21	315
aroK|259	aroK|259	1	20	.	20	518
aroK|238	aroK|238	1	18	.	18	371
aroK|87	aroK|87	1	19	.	19	328
aroK|76	aroK|76	1	17	.	17	402
rffM|11	rffM|11	1	20	.	20	381
rffM|58	rffM|58	1	17	.	17	470
rffM|190	rffM|190	1	20	.	20	477
rffM|122	rffM|122	1	18	.	18	405
rffM|97	rffM|97	1	19	.	19	361
sll1036|42	sll1036|42	1	21	.	21	552
sll1036|54	sll1036|54	1	20	.	20	1239
sll1036|202	sll1036|202	1	19	.	19	317
sll1036|136	sll1036|136	1	17	.	17	1082
sll1036|170	sll1036|170	1	19	.	19	608
ssl0426|241	ssl0426|241	1	20	.	20	359
ssl0426|256	ssl0426|256	1	17	.	17	364
ssl0426|148	ssl0426|148	1	17	.	17	239
fecD|29	fecD|29	1	17	.	17	743
fecD|76	fecD|76	1	22	.	22	156
fecD|45	fecD|45	1	22	.	22	440
fecD|59	fecD|59	1	19	.	19	611
fecD|7	fecD|7	1	19	.	19	854
fecE|65	fecE|65	1	17	.	17	346
fecE|47	fecE|47	1	19	.	19	418
fecE|25	fecE|25	1	22	.	22	896
fecE|98	fecE|98	1	17	.	17	1033
fecE|13	fecE|13	1	18	.	18	347
fecB|91	fecB|91	1	21	.	21	560
fecB|74	fecB|74	1	18	.	18	443
fecB|106	fecB|106	1	22	.	22	367
fecB|13	fecB|13	1	21	.	21	285
fecB|24	fecB|24	1	20	.	20	296
fecC|147	fecC|147	1	18	.	18	935
fecC|3	fecC|3	1	20	.	20	148
fecC|54	fecC|54	1	18	.	18	251
fecC|67	fecC|67	1	19	.	19	254
fecC|115	fecC|115	1	19	.	19	15
phb|12	phb|12	1	20	.	20	633
phb|112	phb|112	1	21	.	21	414
phb|101	phb|101	1	18	.	18	442
phb|55	phb|55	1	20	.	20	622
phb|139	phb|139	1	18	.	18	526
ssl2733|51	ssl2733|51	1	19	.	19	625
ssl2733|30	ssl2733|30	1	20	.	20	311
ssl2733|187	ssl2733|187	1	18	.	18	1099
folK|27	folK|27	1	17	.	17	269
folK|38	folK|38	1	18	.	18	226
folK|106	folK|106	1	22	.	22	568
folK|75	folK|75	1	18	.	18	388
folK|6	folK|6	1	17	.	17	431
sll1039|173	sll1039|173	1	20	.	20	503
sll1039|78	sll1039|78	1	20	.	20	621
sll1039|157	sll1039|157	1	17	.	17	376
sll1039|43	sll1039|43	1	19	.	19	664
sll1039|143	sll1039|143	1	17	.	17	470
cysM|53	cysM|53	1	17	.	17	398
cysM|28	cysM|28	1	18	.	18	484
cysM|40	cysM|40	1	22	.	22	652
cysM|134	cysM|134	1	22	.	22	940
cysM|113	cysM|113	1	18	.	18	383
ccmK2|28	ccmK2|28	1	21	.	21	790
ccmK2|39	ccmK2|39	1	18	.	18	606
ccmK2|151	ccmK2|151	1	22	.	22	739
ccmK2|76	ccmK2|76	1	20	.	20	362
ccmK2|172	ccmK2|172	1	19	.	19	612
